Unnamed: 0,lat,lon,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name,education_score,shopping_score,food_score,healthcare_score,recreation_score
7352,1.394126528,103.7499616,473.7157648,177.630025,768 CHOA CHU KANG ST 54,680768,YEW TEE MRT STATION,BLK 765,26.1157793,28.78859115,0.68765231,7.375571932,33.58677011
7353,1.394132982,103.8954436,271.1712851,130.8638014,260C SENGKANG EAST WAY,543260,SENGKANG MRT STATION,OPP SENGKANG STN / BLK 260A,30.29702677,53.91522102,3.732686897,160.0813828,41.03834286
7354,1.394150091,103.909596,315.3944239,252.6398112,122B EDGEDALE PLAINS,822122,MERIDIAN LRT STATION,CORAL EDGE STN EXIT A,32.75959723,37.83062243,1.900188158,88.25035255,34.49528627
7355,1.394153249,103.8865739,452.433826,39.71181436,351A ANCHORVALE RD,541351,FARMWAY LRT STATION,OPP HOCKEY STADIUM,27.93014296,47.06322677,5.137072403,113.4847041,49.19683023
7356,1.39415593,103.9023759,212.6972778,90.2662497,190B RIVERVALE DR,542190,COMPASSVALE LRT STATION,BLK 190C,34.93392605,41.07332191,2.960461577,103.4845626,41.3331906
7357,1.394201265,103.7444652,494.1845057,82.22881304,570 CHOA CHU KANG ST 52,680570,YEW TEE MRT STATION,BLK 544,23.11583245,33.98168393,0.499817887,6.682132381,24.79966403
7358,1.394209181,103.7505354,507.7855483,158.6441066,769 CHOA CHU KANG ST 54,680769,YEW TEE MRT STATION,Yew Mei Green Condo,27.69704542,28.02435515,0.711312367,7.340778204,33.65857838
7359,1.394219766,103.9030537,286.3306292,117.9988866,192B RIVERVALE DR,542192,COMPASSVALE LRT STATION,BLK 190C,35.73818256,41.00918737,2.583662794,99.17155215,42.02514991
7360,1.394224944,103.8922439,286.2006254,80.08353455,333D ANCHORVALE LINK,544333,CHENG LIM LRT STATION,BLK 333B,31.46589587,45.10256078,4.546684207,146.877601,38.32518157
7361,1.394227136,103.9149774,136.2079472,95.09018163,167B PUNGGOL EAST,822167,RIVIERA LRT STATION,RIVIERA STN EXIT B,21.71088248,35.24327217,1.631235214,71.27448752,21.20203894
7362,1.394240375,103.8949716,261.4584076,91.42585467,262D COMPASSVALE ST,544262,CHENG LIM LRT STATION,OPP SENGKANG GENERAL HOSP,30.1362004,52.06654171,3.821831119,160.4545455,40.07941778
7363,1.394267658,103.7493193,421.0394554,203.7296569,771 CHOA CHU KANG ST 54,680771,YEW TEE MRT STATION,BLK 765,24.55385902,29.90984479,0.656530663,7.329027015,32.0887973
