THEMENAME,QUERYNAME,CATEGORY
Breast Screening Centre,breastscreen,Health
Singapore Police Force - National Day Parade (NDP) 2023 Special Event Area,ndp_23_sea,Community
Singapore Police Force - National Day Parade (NDP) 2023 Special Zone,ndp_23_sz,Community
Wolbachia Release Sites,wolbachia_release_sites,Environment
Social Service Offices,sso,Community
Silver Infocomm,silverinfocomm,Community
Wireless HotSpots,wireless_hotspots,Recreation
Community Devt Councils,cdcouncils,Community
JTC Estate Name Boundary,jtc_estate_name,null
JTC Temporary Occupation License,jtc_tol,null
Public Access AEDs,aed_locations,Emergency Preparedness
HDB Neighbourhood Renewal Programme Proposed and Under-Construction (NRP),hdbnrpunderconstruction,null
HDB Public Housing Building Under-Construction,hdbbuildingunderconstruction,null
Drainage Construction,drainageconstruction,null
Estate Upgrading Programme (EUP) Works for OSP,bca_estate_upg_prog_osp,null
HDB Lift Upgrading Programme Proposed and Under-Construction (LUP),hdbluppropunderconstruction,null
Cleaning Sectors,cleansing_outsourced,Environment
Disability Services,disability,Family
NEA Offices,neaoffices,Government Offices
ABC Waters Completed,abcwaterscompleted,Environment
Bomb shelters,bombshelters,null
Singapore Police Force NPC Boundary,npc_boundary,Government Offices
Monuments,monuments,Culture
Parks,nationalparks,Recreation
Nature Reserves Gazette 2005,nr_gaz_2005,Recreation
Protected Area under Section 7 Air Navigation Act,mha_uav_2015,Community
Friendly Buildings,bfabuildings,Community
No Smoking Zones,nsz,Environment
MOH JTVC,testingops,Health
Locations of Money Changer,moneychanger,Community
Funeral Parlours,funeralparlours,Environment
Eldercare Services,eldercare,Family
HDB Branches,hdb_branches,Government Offices
Healthier Eateries,healthierdining,Health
Family Services,family,Family
Vaccination_ JTVC,votg_jtvcs,Health
Vaccination_PHPC,votg_phpc,Health
Vaccination_Polyclinics,vaccination_polyclinics,Health
