iter	RMSE
0	0.1199555149
1	0.1117416867
2	0.1044779028
3	0.09829104599
4	0.09268887881
5	0.08756381931
6	0.08310612964
7	0.07912801491
8	0.07564978662
9	0.07259908156
10	0.06978910888
11	0.06719987592
12	0.06512470755
13	0.06303761796
14	0.06117154148
15	0.05943304099
16	0.05784879851
17	0.05643385829
18	0.05508120061
19	0.05397173526
20	0.05282093846
21	0.05183092039
22	0.05093504446
23	0.0500112075
24	0.04923103936
25	0.04850931209
26	0.04792802122
27	0.04725114639
28	0.0465041277
29	0.04597694936
30	0.04541300321
31	0.04493954932
32	0.04449919265
33	0.04408803446
34	0.04367674944
35	0.04331472534
36	0.04287073119
37	0.04256306825
38	0.04226872734
39	0.04194532956
40	0.04167114822
41	0.04143813705
42	0.04118109187
43	0.04087565192
44	0.04067421216
45	0.04048400853
46	0.04029279595
47	0.04012346073
48	0.03994246459
49	0.03979766453
50	0.03957849084
51	0.03937842901
52	0.03922103118
53	0.03896317877
54	0.03877077001
55	0.0386376793
56	0.03850456237
57	0.03832891658
58	0.03817491747
59	0.0380082544
60	0.03789784731
61	0.03771422471
62	0.03760340231
63	0.03749850456
64	0.03737096064
65	0.03725964917
66	0.03712321377
67	0.03700792654
68	0.03689305924
69	0.03674763413
70	0.03663265687
71	0.03654982524
72	0.03645242162
73	0.03638621535
74	0.03628454249
75	0.03622443859
76	0.03614726013
77	0.03605556929
78	0.03594039025
79	0.03588799304
80	0.03574200703
81	0.03564054749
82	0.03555511781
83	0.03545873416
84	0.03536847539
85	0.03524926499
86	0.03517599509
87	0.03507787062
88	0.03496514042
89	0.03485075517
90	0.03480695506
91	0.03472363831
92	0.03459802941
93	0.03454112614
94	0.034484579
95	0.03443096825
96	0.03437354465
97	0.03433097702
98	0.03424878397
99	0.03416920422
100	0.03409196687
101	0.03399751425
102	0.03395239795
103	0.03390539005
104	0.03380150886
105	0.03373408087
106	0.0336511436
107	0.03355721672
108	0.03349429117
109	0.03343218784
110	0.03332997387
111	0.03325251387
112	0.03320584077
113	0.03315179647
114	0.0331116656
115	0.03304649277
116	0.03300762314
117	0.03294565894
118	0.03290344779
119	0.03285483546
120	0.03277819113
121	0.03270316928
122	0.03262636848
123	0.03258354327
124	0.03252208589
125	0.0324643602
126	0.03237937655
127	0.03231001883
128	0.03224855188
129	0.03219754879
130	0.03215409113
131	0.03211421298
132	0.03207884937
133	0.03203840627
134	0.03197530894
135	0.03188777407
136	0.03183744885
137	0.03179698493
138	0.03175238951
139	0.03170244656
140	0.03164192771
141	0.03160049422
142	0.03156176922
143	0.03150408465
144	0.03146504462
145	0.03143313182
146	0.03136318987
147	0.03131800047
148	0.03126451409
149	0.03120966962
150	0.03115740282
151	0.03111979307
152	0.03106371129
153	0.03101406169
154	0.03097616837
155	0.03094187738
156	0.03090490845
157	0.03087399678
158	0.03085462326
159	0.03080991979
160	0.03078318984
161	0.03073824366
162	0.03069928166
163	0.03067434114
164	0.03063305712
165	0.03059715653
166	0.03055527025
167	0.03050949433
168	0.03045915723
169	0.03042067923
170	0.03037708448
171	0.03034858012
172	0.03030423535
173	0.03028396759
174	0.0302589217
