iter	Passed	Remaining
418	3445	666
419	3452	657
420	3459	649
421	3467	640
422	3475	632
423	3483	624
424	3491	616
425	3498	607
426	3506	599
427	3515	591
428	3524	583
429	3533	575
430	3541	567
431	3549	558
432	3557	550
433	3564	542
434	3572	533
435	3580	525
436	3587	517
437	3594	508
438	3602	500
439	3609	492
440	3616	483
441	3625	475
442	3633	467
443	3640	459
444	3649	451
445	3657	442
446	3664	434
447	3672	426
448	3680	418
449	3688	409
450	3695	401
451	3703	393
452	3711	385
453	3718	376
454	3728	368
455	3736	360
456	3744	352
457	3751	344
458	3760	335
459	3767	327
460	3775	319
461	3783	311
462	3791	302
463	3798	294
464	3805	286
465	3814	278
466	3823	270
467	3830	261
468	3838	253
469	3846	245
470	3853	237
471	3862	229
472	3869	220
473	3878	212
474	3885	204
475	3893	196
476	3903	188
477	3911	180
478	3920	171
479	3927	163
480	3935	155
481	3942	147
482	3950	139
483	3958	130
484	3966	122
485	3974	114
486	3982	106
487	3989	98
488	3997	89
489	4005	81
490	4013	73
491	4021	65
492	4029	57
493	4037	49
494	4045	40
495	4052	32
496	4060	24
497	4066	16
498	4075	8
499	4084	0
