,latitude,longitude,nearest_mrt_distance,nearest_bus_distance,address,postal_code,nearest_mrt_name,nearest_bus_name
4880,1.365589371,103.959037,1153.9210217408493,95.90827226397947,189 PASIR RIS ST 12,510189,TAMPINES EAST MRT STATION,BEF BLK 187
4881,1.365592446,103.8483867,451.52014159727304,229.30953212321717,320 ANG MO KIO AVE 1,560320,ANG MO KIO MRT STATION,TECK GHEE CT
4882,1.365613501,103.9600441,1207.999128868796,143.34648129699443,185 PASIR RIS ST 11,510185,TAMPINES EAST MRT STATION,BEF BLK 187
4883,1.365624783,103.8470115,526.1227234721067,226.9512697432188,317 ANG MO KIO ST 31,560317,ANG MO KIO MRT STATION,OPP BLK 315
4884,1.365628235,103.8718313,1590.982343504813,73.63944453041593,127 SERANGOON NTH AVE 1,550127,KOVAN MRT STATION,BLK 126
4885,1.365649035,103.888264,704.5595238599109,175.08182064588024,705 HOUGANG AVE 2,530705,KOVAN MRT STATION,BLK 708
4886,1.365653269,103.8552322,718.146084695432,99.58763753865996,442 ANG MO KIO AVE 10,560442,ANG MO KIO MRT STATION,BLK 443
4887,1.365663608,103.8961947,755.9763524583926,122.0022765625266,318 HOUGANG AVE 5,530318,HOUGANG MRT STATION,BLK 316
4888,1.365667331,103.8948537,683.2230967357187,235.99167231283718,311 HOUGANG AVE 5,530311,HOUGANG MRT STATION,BLK 308
4889,1.365667831,103.9639632,1478.421819770938,140.3617090115413,271 PASIR RIS ST 21,510271,TAMPINES EAST MRT STATION,BLK 269A
4890,1.365697619,103.858942,1080.573069555418,273.288399998747,457 ANG MO KIO AVE 10,560457,ANG MO KIO MRT STATION,BLK 465
4891,1.365725522,103.8457506,615.0975169816257,178.74767378893108,306 ANG MO KIO AVE 1,560306,ANG MO KIO MRT STATION,BLK 307A
4892,1.365726597,103.956188,1074.2288258741303,235.78755272623823,133 PASIR RIS ST 11,510133,TAMPINES EAST MRT STATION,OPP BLK 108
4893,1.36572844,103.8966202,777.7374805950368,104.51573465627041,319 HOUGANG AVE 5,530319,HOUGANG MRT STATION,BLK 316
4894,1.365758495,103.8897201,682.7105650876912,130.56586007058934,702 HOUGANG AVE 2,530702,HOUGANG MRT STATION,BLK 708
4895,1.365764391,103.7453993,1061.8172488808407,84.47108784871529,405 BT BATOK WEST AVE 7,650405,BUKIT GOMBAK MRT STATION,BLK 406
4896,1.365793492,103.9353229,1744.2305570510712,146.32250136538372,613A TAMPINES NTH DR 1,521613,PASIR RIS MRT STATION,BLK 614
4897,1.365819605,103.8570616,884.2111060323772,78.82620245662837,466 ANG MO KIO AVE 10,560466,ANG MO KIO MRT STATION,BLK 465
4898,1.365820302,103.9543083,973.8558611974522,331.8808256790667,124 PASIR RIS ST 11,510124,PASIR RIS MRT STATION,OPP BLK 108
4899,1.365820895,103.8428478,879.8248018062867,70.10243460704919,207 ANG MO KIO AVE 1,560207,ANG MO KIO MRT STATION,BLK 207
4900,1.36583937,103.8446308,706.7909004143072,63.849542063341666,307B ANG MO KIO AVE 1,562307,ANG MO KIO MRT STATION,BLK 307A
4901,1.365853749,103.7527285,794.0264253954732,237.24987198490422,391 BT BATOK WEST AVE 5,650391,BUKIT GOMBAK MRT STATION,HOMETEAMNS
4902,1.365866084,103.7533233,805.7850983304763,302.6878202249811,392 BT BATOK WEST AVE 5,650392,BUKIT GOMBAK MRT STATION,HOMETEAMNS
4903,1.365882221,103.8873871,684.6803701873177,235.74231889780395,712 HOUGANG AVE 2,530712,KOVAN MRT STATION,OPP BLK 709
4904,1.365893163,103.9552217,1029.389093308423,258.6285550292054,127 PASIR RIS ST 11,510127,PASIR RIS MRT STATION,OPP BLK 108
4905,1.3659199,103.9563485,1098.4030615918678,212.2113165395003,131 PASIR RIS ST 11,510131,TAMPINES EAST MRT STATION,OPP BLK 108
4906,1.365941684,103.9634759,1463.3578667403845,139.95118400382745,267 PASIR RIS ST 21,510267,TAMPINES EAST MRT STATION,OPP BLK 204
4907,1.365960368,103.8886465,723.7444770041287,121.5769236359562,706 HOUGANG AVE 2,530706,HOUGANG MRT STATION,BLK 708
4908,1.36598198,103.840654,801.2819726531366,122.82323718246433,219 ANG MO KIO AVE 1,560219,MAYFLOWER MRT STATION,BLK 220
4909,1.365982051,103.844445,715.6829378564485,38.27398501978503,307A ANG MO KIO AVE 1,561307,ANG MO KIO MRT STATION,BLK 307A
4910,1.365989033,103.9596753,1225.1021171244631,153.7064896139009,194 PASIR RIS ST 12,510194,TAMPINES EAST MRT STATION,BEF BLK 187
4911,1.366018175,103.8393614,731.3661472442969,162.9078523613116,222 ANG MO KIO AVE 1,560222,MAYFLOWER MRT STATION,OPP BLK 223
4912,1.366043889,103.855369,707.1671851899189,87.41954665766757,443 ANG MO KIO AVE 10,560443,ANG MO KIO MRT STATION,BLK 443
4913,1.366048084,103.8381227,652.1234838453773,43.17983191115407,223 ANG MO KIO AVE 1,560223,BRIGHT HILL MRT STATION,BLK 223
4914,1.366050278,103.8541683,596.7136424924498,218.3324881836669,441 ANG MO KIO AVE 10,560441,ANG MO KIO MRT STATION,BLK 443
4915,1.366051076,103.9593897,1217.120254524535,150.30403080011678,193 PASIR RIS ST 12,510193,TAMPINES EAST MRT STATION,BEF BLK 187
4916,1.366058217,103.8718749,1605.3700874452081,49.39891003809515,126 SERANGOON NTH AVE 1,550126,KOVAN MRT STATION,BLK 126
4917,1.36606697,103.958731,1188.7844857233965,154.42828138495176,191 PASIR RIS ST 12,510191,TAMPINES EAST MRT STATION,BEF BLK 187
4918,1.366072002,103.9556142,1043.2332361778244,219.15336929502368,128 PASIR RIS ST 11,510128,PASIR RIS MRT STATION,OPP BLK 108
