postal_code,Description_clean
600115,Attributes BLK_NO 115  ST_COD JUS03N  ENTITYID 7430  POSTAL_COD 600115  INC_CRC B74B323D59343D0A  FMEL_UPD_D 20130426120320 
601267,Attributes BLK_NO 267A  ST_COD TOG02Q  ENTITYID 5370  POSTAL_COD 601267  INC_CRC 628A3402C0286EE3  FMEL_UPD_D 20130426120255 
651292,Attributes BLK_NO 292A  ST_COD BUA08A  ENTITYID 10554  POSTAL_COD 651292  INC_CRC 5D21CB0E4DF73542  FMEL_UPD_D 20171003103222 
641682,Attributes BLK_NO 682A  ST_COD JUC06T  ENTITYID 6219  POSTAL_COD 641682  INC_CRC 728C06584BA88E17  FMEL_UPD_D 20130426120304 
518711,Attributes BLK_NO 67  ST_COD PAT06T  ENTITYID 3596  POSTAL_COD 518711  INC_CRC CE11D4EF53CED073  FMEL_UPD_D 20130426120235 
530610,Attributes BLK_NO 610  ST_COD HOA11S  ENTITYID 12864  POSTAL_COD 530610  INC_CRC 338210951637F6D0  FMEL_UPD_D 20170601120549 
680792,Attributes BLK_NO 792  ST_COD CHN04D  ENTITYID 333  POSTAL_COD 680792  INC_CRC A65F1721F3B4F3C3  FMEL_UPD_D 20130426120304 
539174,Attributes BLK_NO 174D  ST_COD HOA03T  ENTITYID 1061  POSTAL_COD 539174  INC_CRC A59F194E4F2D9445  FMEL_UPD_D 20130426120218 
760613,Attributes BLK_NO 613  ST_COD YIS04C  ENTITYID 1778  POSTAL_COD 760613  INC_CRC 39CB23F86209A260  FMEL_UPD_D 20160729143834 
600044,Attributes BLK_NO 44  ST_COD TEG02M  ENTITYID 4979  POSTAL_COD 600044  INC_CRC FFA1CBB266220DAC  FMEL_UPD_D 20130426120249 
680133,Attributes BLK_NO 133  ST_COD TEL13D  ENTITYID 10379  POSTAL_COD 680133  INC_CRC D7AA7A7F7818AC1E  FMEL_UPD_D 20130426120259 
522498,Attributes BLK_NO 498D  ST_COD TAS23F  ENTITYID 5395  POSTAL_COD 522498  INC_CRC 0D72AB721FF74449  FMEL_UPD_D 20130426120254 
520285,Attributes BLK_NO 285  ST_COD TAS15G  ENTITYID 7180  POSTAL_COD 520285  INC_CRC 88C1FA47019F888B  FMEL_UPD_D 20230328181025 
520288,Attributes BLK_NO 288  ST_COD TAS15G  ENTITYID 7475  POSTAL_COD 520288  INC_CRC 01CC6E81C7CDBF9B  FMEL_UPD_D 20230328181025 
191465,Attributes BLK_NO 465  ST_COD NOB02Q  ENTITYID 7639  POSTAL_COD 191465  INC_CRC C698D563C0009D27  FMEL_UPD_D 20230328181025 
520291,Attributes BLK_NO 291  ST_COD TAS15G  ENTITYID 7697  POSTAL_COD 520291  INC_CRC BDB8C56DC7AFA354  FMEL_UPD_D 20230328181025 
150008,Attributes BLK_NO 8  ST_COD RUT00R  ENTITYID 7903  POSTAL_COD 150008  INC_CRC A08F119AA36002AE  FMEL_UPD_D 20230328181025 
331059,Attributes BLK_NO 59B  ST_COD GEB00B  ENTITYID 6441  POSTAL_COD 331059  INC_CRC D7F3A467AA13EB6E  FMEL_UPD_D 20130426120308 
400319,Attributes BLK_NO 319  ST_COD UBA00H  ENTITYID 997  POSTAL_COD 400319  INC_CRC 8A824B538DFBE31E  FMEL_UPD_D 20140120182932 
400313,Attributes BLK_NO 313  ST_COD UBA00H  ENTITYID 4181  POSTAL_COD 400313  INC_CRC 7CE25D14791D4861  FMEL_UPD_D 20140120182932 
751481,Attributes BLK_NO 481A  ST_COD SED08Q  ENTITYID 427  POSTAL_COD 751481  INC_CRC 0036168E6136614B  FMEL_UPD_D 20130426120242 
