name,amenity_type,LatLng,lat,lon
Roxy Square,shopping,"1.30432599904899,103.904051120306",1.30432599904899,103.904051120306
Singpost Centre,shopping,"1.31899666903663,103.894894915962",1.31899666903663,103.894894915962
Tampines 1,shopping,"1.34633535808984,103.933979581362",1.34633535808984,103.933979581362
Tampines Mall,shopping,"1.35259361362837,103.944785968039",1.35259361362837,103.944785968039
White Sands,shopping,"1.37228761596577,103.949733905672",1.37228761596577,103.949733905672
City Plaza,shopping,"1.31470866320366,103.893508573389",1.31470866320366,103.893508573389
Elias Mall,shopping,"1.37790533095468,103.94233582068",1.37790533095468,103.94233582068
Loyang Point,shopping,"1.36706634197242,103.964635610477",1.36706634197242,103.964635610477
888 Plaza,shopping,"1.43711856085535,103.795316064775",1.43711856085535,103.795316064775
Admiralty Place,shopping,"1.44042008562425,103.801541769047",1.44042008562425,103.801541769047
AMK Hub,shopping,"1.36925511350953,103.848464053097",1.36925511350953,103.848464053097
Canberra Plaza,shopping,"1.44349544527985,103.830345369213",1.44349544527985,103.830345369213
Causeway Point,shopping,"1.43590007901468,103.785795816344",1.43590007901468,103.785795816344
Woodlands Civic Centre,shopping,"1.43515024446739,103.786816106255",1.43515024446739,103.786816106255
Broadway Plaza,shopping,"1.37193729131781,103.845949444498",1.37193729131781,103.845949444498
Djitsun Mall,shopping,"1.32611970329469,103.929554495615",1.32611970329469,103.929554495615
Jubilee Square,shopping,"1.37178558575829,103.847837565378",1.37178558575829,103.847837565378
Junction 8,shopping,"1.35017243180201,103.848553703258",1.35017243180201,103.848553703258
Junction Nine,shopping,"1.4331228398318,103.84166098599",1.4331228398318,103.84166098599
Marsiling Mall,shopping,"1.43354318137534,103.77988189197",1.43354318137534,103.77988189197
Northpoint City,shopping,"1.42822560922688,103.836419992398",1.42822560922688,103.836419992398
Sembawang Shopping Centre,shopping,"1.44185325264629,103.824832415833",1.44185325264629,103.824832415833
Sun Plaza,shopping,"1.44823113453257,103.819523749458",1.44823113453257,103.819523749458
Vista Point,shopping,"1.4308011390122,103.794104795966",1.4308011390122,103.794104795966
Wisteria Mall,shopping,"1.41798969122298,103.841317292608",1.41798969122298,103.841317292608
Woodlands Mart,shopping,"1.44564787003157,103.798162285805",1.44564787003157,103.798162285805
Woodlands North Plaza,shopping,"1.44275334327795,103.790548015512",1.44275334327795,103.790548015512
Waterway Point,shopping,"1.40637933605759,103.902172248289",1.40637933605759,103.902172248289
Compass One,shopping,"1.39205314156706,103.89507054384",1.39205314156706,103.89507054384
Hougang Mall,shopping,"1.37248308734511,103.893788141349",1.37248308734511,103.893788141349
Heartland Mall,shopping,"1.35954450890401,103.885169070198",1.35954450890401,103.885169070198
NEX,shopping,"1.35076935257845,103.872296143862",1.35076935257845,103.872296143862
Buangkok Square,shopping,"1.38433426615655,103.881623070164",1.38433426615655,103.881623070164
Greenwich V,shopping,"1.38739539397015,103.869135978173",1.38739539397015,103.869135978173
Hougang 1,shopping,"1.35664284566921,103.889828868222",1.35664284566921,103.889828868222
Hougang Green Shopping Mall,shopping,"1.37931783499145,103.88784708944",1.37931783499145,103.88784708944
Hougang Rivercourt,shopping,"1.36220591877146,103.894742116488",1.36220591877146,103.894742116488
myVillage At Serangoon Garden,shopping,"1.36511490572797,103.865159501442",1.36511490572797,103.865159501442
Northshore Plaza,shopping,"1.41676127156324,103.902074379502",1.41676127156324,103.902074379502
Oasis Terraces,shopping,"1.40278015725693,103.913215101343",1.40278015725693,103.913215101343
Punggol Plaza,shopping,"1.39423719717117,103.913047323223",1.39423719717117,103.913047323223
Rivervale Mall,shopping,"1.39219777838449,103.904471600025",1.39219777838449,103.904471600025
Rivervale Plaza,shopping,"1.38550420775531,103.901988424927",1.38550420775531,103.901988424927
The Seletar Mall,shopping,"1.39147015374628,103.876125507257",1.39147015374628,103.876125507257
Upper Serangoon Shopping Centre,shopping,"1.35348082277147,103.878828134896",1.35348082277147,103.878828134896
Beauty World Centre,shopping,"1.34241264188642,103.776539385406",1.34241264188642,103.776539385406
Beauty World Plaza,shopping,"1.34180018619223,103.776259359854",1.34180018619223,103.776259359854
Bukit Panjang Plaza,shopping,"1.37988291404114,103.764377765935",1.37988291404114,103.764377765935
Bukit Timah Plaza,shopping,"1.3386316527745,103.778585430975",1.3386316527745,103.778585430975
Fajar Shopping Centre,shopping,"1.38357469942896,103.770868459633",1.38357469942896,103.770868459633
Greenridge Shopping Centre,shopping,"1.38540569283271,103.766228468185",1.38540569283271,103.766228468185
Hillion Mall,shopping,"1.37841165144214,103.76382945872",1.37841165144214,103.76382945872
HillV2,shopping,"1.36267450828024,103.76417292006",1.36267450828024,103.76417292006
Junction 10,shopping,"1.38055127973087,103.760106974822",1.38055127973087,103.760106974822
Keat Hong Shopping Centre,shopping,"1.37736607441394,103.744393648768",1.37736607441394,103.744393648768
Limbang Shopping Centre,shopping,"1.3920738867617,103.743099573442",1.3920738867617,103.743099573442
Lot One,shopping,"1.38506992325619,103.745238868238",1.38506992325619,103.745238868238
Rail Mall,shopping,"1.35773050150178,103.768137724847",1.35773050150178,103.768137724847
Sunshine Place,shopping,"1.37789727709418,103.739015486021",1.37789727709418,103.739015486021
Teck Whye Shopping Centre,shopping,"1.38004752975397,103.752483841199",1.38004752975397,103.752483841199
West Mall,shopping,"1.35037541626109,103.74912389291",1.35037541626109,103.74912389291
Yew Tee Point,shopping,"1.39705741516141,103.746662121143",1.39705741516141,103.746662121143
Yew Tee Square,shopping,"1.39836942665376,103.747188486453",1.39836942665376,103.747188486453
321 Clementi,shopping,"1.31200212030821,103.764986676365",1.31200212030821,103.764986676365
The Clementi Mall,shopping,"1.31489619639366,103.764423054189",1.31489619639366,103.764423054189
IMM,shopping,"1.33487526118006,103.746894773008",1.33487526118006,103.746894773008
JCube,shopping,"1.33332312550425,103.740187071348",1.33332312550425,103.740187071348
Jem,shopping,"1.33305999269581,103.743503708169",1.33305999269581,103.743503708169
Westgate,shopping,"1.33415767556867,103.742766484424",1.33415767556867,103.742766484424
Jurong Point,shopping,"1.3394520043632,103.706685012926",1.3394520043632,103.706685012926
Pioneer Mall,shopping,"1.34169239214292,103.697174842118",1.34169239214292,103.697174842118
The Star Vista,shopping,"1.30681500712523,103.788462732266",1.30681500712523,103.788462732266
Alexandra Central,shopping,"1.28728320930592,103.805283367958",1.28728320930592,103.805283367958
Anchorpoint,shopping,"1.28893477974497,103.805607779399",1.28893477974497,103.805607779399
Boon Lay Shopping Centre,shopping,"1.34637376407877,103.712472819666",1.34637376407877,103.712472819666
Grantral Mall,shopping,"1.31427043922294,103.765147487482",1.31427043922294,103.765147487482
Fairprice Hub,shopping,"1.35349593581988,103.940139392679",1.35349593581988,103.940139392679
Gek Poh Shopping Centre,shopping,"1.3487416466288,103.697739629738",1.3487416466288,103.697739629738
Rochester Mall,shopping,"1.30540765569962,103.788446680148",1.30540765569962,103.788446680148
Taman Jurong Shopping Centre,shopping,"1.33484487471259,103.720462024278",1.33484487471259,103.720462024278
West Coast Plaza,shopping,"1.30358622534992,103.76610375397",1.30358622534992,103.76610375397
Queensway Shopping Centre,shopping,"1.2876179255874,103.803391140455",1.2876179255874,103.803391140455
SHENG SIONG SUPERMARKET,shopping,"1.4160188050375,103.835000766612",1.4160188050375,103.835000766612
GIANT,shopping,"1.38529556252963,103.766170532051",1.38529556252963,103.766170532051
COLD STORAGE,shopping,"1.44571784134906,103.798166316676",1.44571784134906,103.798166316676
SHENG SIONG SUPERMARKET,shopping,"1.37018860668947,103.843413231524",1.37018860668947,103.843413231524
SHENG SIONG SUPERMARKET,shopping,"1.4315052703273,103.773515659097",1.4315052703273,103.773515659097
FAIRPRICE,shopping,"1.37992045176243,103.764357180314",1.37992045176243,103.764357180314
FAIRPRICE,shopping,"1.44819666623789,103.819498634275",1.44819666623789,103.819498634275
FAIRPRICE,shopping,"1.43252114855026,103.774074641403",1.43252114855026,103.774074641403
FAIRPRICE,shopping,"1.43712301500434,103.795314383823",1.43712301500434,103.795314383823
fairprice,shopping,"1.42452849741737,103.846595546746",1.42452849741737,103.846595546746
COLD STORAGE,shopping,"1.38339951629579,103.771086145173",1.38339951629579,103.771086145173
GIANT,shopping,"1.37416445374568,103.839549130658",1.37416445374568,103.839549130658
FAIRPRICE,shopping,"1.42898765704375,103.780916973423",1.42898765704375,103.780916973423
GIANT,shopping,"1.43044361849124,103.793804884379",1.43044361849124,103.793804884379
GIANT,shopping,"1.44275334327795,103.790548015512",1.44275334327795,103.790548015512
SHENG SIONG SUPERMARKET,shopping,"1.42750549654333,103.837125284539",1.42750549654333,103.837125284539
COLD STORAGE,shopping,"1.43611425409216,103.837605235958",1.43611425409216,103.837605235958
hwa soon heng mini supermarket,shopping,"1.43007109914643,103.842396446526",1.43007109914643,103.842396446526
COLD STORAGE,shopping,"1.37904775889844,103.773004042544",1.37904775889844,103.773004042544
FAIRPRICE,shopping,"1.42944308477331,103.835005047246",1.42944308477331,103.835005047246
FAIRPRICE,shopping,"1.41696049844254,103.835347787187",1.41696049844254,103.835347787187
The butcher,shopping,"1.31192195425084,103.796844037126",1.31192195425084,103.796844037126
Fish market,shopping,"1.33183246511303,103.806492461663",1.33183246511303,103.806492461663
FAIRPRICE,shopping,"1.38512867383046,103.760410617887",1.38512867383046,103.760410617887
HAO MART,shopping,"1.43359514649201,103.839685373602",1.43359514649201,103.839685373602
COLD STORAGE,shopping,"1.4248993192219,103.847249789758",1.4248993192219,103.847249789758
FAIRPRICE,shopping,"1.36655830166122,103.841624082978",1.36655830166122,103.841624082978
FAIRPRICE,shopping,"1.4110553473838,103.844186136559",1.4110553473838,103.844186136559
COLD STORAGE,shopping,"1.33081740114673,103.795692352549",1.33081740114673,103.795692352549
COLD STORAGE,shopping,"1.31754555939886,103.785850542515",1.31754555939886,103.785850542515
GIANT,shopping,"1.33487526118006,103.746894773008",1.33487526118006,103.746894773008
LOTUS GROCERY,shopping,"1.33638188559532,103.768386558311",1.33638188559532,103.768386558311
SHENG SIONG SUPERMARKET,shopping,"1.34737180152613,103.743698106143",1.34737180152613,103.743698106143
fairprice,shopping,"1.32383512178759,103.809999570047",1.32383512178759,103.809999570047
FAIRPRICE,shopping,"1.31248109025097,103.765476495005",1.31248109025097,103.765476495005
FAIRPRICE FINEST,shopping,"1.33875930729064,103.778600077834",1.33875930729064,103.778600077834
FAIRPRICE,shopping,"1.33315281585758,103.742286332403",1.33315281585758,103.742286332403
FAIRPRICE,shopping,"1.3394520043632,103.706685012926",1.3394520043632,103.706685012926
FAIRPRICE,shopping,"1.33121044433009,103.72142643444",1.33121044433009,103.72142643444
FAIRPRICE,shopping,"1.3350420286067,103.72026802061",1.3350420286067,103.72026802061
COLD STORAGE,shopping,"1.34992152880216,103.749171990184",1.34992152880216,103.749171990184
U Stars Supermarket,shopping,"1.31770281154049,103.769076731999",1.31770281154049,103.769076731999
COLD STORAGE,shopping,"1.34241264188642,103.776539385406",1.34241264188642,103.776539385406
SHENG SIONG SUPERMARKET,shopping,"1.32554465969069,103.725574633362",1.32554465969069,103.725574633362
ridgewood gourmet,shopping,"1.3166189803866,103.77894725541",1.3166189803866,103.77894725541
FAIRPRICE,shopping,"1.34715255032968,103.742824825591",1.34715255032968,103.742824825591
SHENG SIONG SUPERMARKET,shopping,"1.32213636287766,103.738292803395",1.32213636287766,103.738292803395
FAIRPRICE,shopping,"1.34903331201636,103.749566478309",1.34903331201636,103.749566478309
COLD STORAGE,shopping,"1.26401293230767,103.82005101011",1.26401293230767,103.82005101011
GIANT,shopping,"1.31010302594118,103.788545950724",1.31010302594118,103.788545950724
FAIRPRICE,shopping,"1.34551209957175,103.731219147654",1.34551209957175,103.731219147654
The Seafood Market Place by Song Fish,shopping,"1.3394520043632,103.706685012926",1.3394520043632,103.706685012926
FAIRPRICE,shopping,"1.29270339855062,103.810958956467",1.29270339855062,103.810958956467
SHENG SIONG SUPERMARKET,shopping,"1.36754924977907,103.836740628478",1.36754924977907,103.836740628478
SHENG SIONG SUPERMARKET,shopping,"1.3216190383169,103.859382719506",1.3216190383169,103.859382719506
-,shopping,"1.37563500157221,103.871996419103",1.37563500157221,103.871996419103
COLD STORAGE,shopping,"1.41738337009565,103.832979908243",1.41738337009565,103.832979908243
GIANT,shopping,"1.36462540270464,103.847677034369",1.36462540270464,103.847677034369
FairPrice,shopping,"1.3209929422065,103.870389998344",1.3209929422065,103.870389998344
LITTLE FARMS,shopping,"1.29303600932874,103.827069067058",1.29303600932874,103.827069067058
FAIRPRICE,shopping,"1.28645354030174,103.808242400418",1.28645354030174,103.808242400418
FAIRPRICE,shopping,"1.29303600932874,103.827069067058",1.29303600932874,103.827069067058
COLD STORAGE,shopping,"1.32257316934913,103.814245542255",1.32257316934913,103.814245542255
FAIRPRICE,shopping,"1.32044103104797,103.844192628979",1.32044103104797,103.844192628979
FAIRPRICE XTRA,shopping,"1.36923561405404,103.848693181185",1.36923561405404,103.848693181185
FAIRPRICE,shopping,"1.31536302699791,103.849434501824",1.31536302699791,103.849434501824
FPXpress,shopping,"1.33176092057825,103.806586709072",1.33176092057825,103.806586709072
SHENG SIONG SUPERMARKET,shopping,"1.30178506364186,103.798226442608",1.30178506364186,103.798226442608
FairPrice,shopping,"1.31264014497827,103.872491873561",1.31264014497827,103.872491873561
FAIRPRICE,shopping,"1.28148915140735,103.827671951512",1.28148915140735,103.827671951512
swiss butchery,shopping,"1.30561166483047,103.82296294094",1.30561166483047,103.82296294094
FAIRPRICE,shopping,"1.32379607125113,103.855670620709",1.32379607125113,103.855670620709
GIANT,shopping,"1.34962234975345,103.849881702733",1.34962234975345,103.849881702733
COLD STORAGE,shopping,"1.33149129253859,103.806809027748",1.33149129253859,103.806809027748
-,shopping,"1.31357604994103,103.881877795334",1.31357604994103,103.881877795334
MINI MART,shopping,"1.28076943476846,103.852658562152",1.28076943476846,103.852658562152
-,shopping,"1.33166476661284,103.807033788637",1.33166476661284,103.807033788637
FAIRPRICE,shopping,"1.31142103107683,103.856624019991",1.31142103107683,103.856624019991
PRB TRADING,shopping,"1.31208817725995,103.877388748956",1.31208817725995,103.877388748956
FAMILY NEEDS,shopping,"1.31391051715464,103.854392537736",1.31391051715464,103.854392537736
COLD STORAGE,shopping,"1.31943645952176,103.827347301883",1.31943645952176,103.827347301883
FOODIE MARKET PLACE,shopping,"1.2834507756763,103.835371238027",1.2834507756763,103.835371238027
HAO MART,shopping,"1.31346903148114,103.877004748853",1.31346903148114,103.877004748853
GIANT,shopping,"1.28263437649669,103.825595753657",1.28263437649669,103.825595753657
FAIRPRICE SHOP,shopping,"1.27707706824333,103.831425856916",1.27707706824333,103.831425856916
KOSHER SHOP,shopping,"1.29824653795901,103.850683298453",1.29824653795901,103.850683298453
FAIRPRICE,shopping,"1.30579942993543,103.833074706219",1.30579942993543,103.833074706219
FAIRPRICE,shopping,"1.3714109677026,103.847084468485",1.3714109677026,103.847084468485
COLD STORAGE,shopping,"1.38739539397015,103.869135978173",1.38739539397015,103.869135978173
SHENG SIONG SUPERMARKET,shopping,"1.30778509510261,103.857010982845",1.30778509510261,103.857010982845
SHENG SIONG SUPERMARKET,shopping,"1.31272117351252,103.878642017231",1.31272117351252,103.878642017231
HAO MART,shopping,"1.32471579654689,103.857752875203",1.32471579654689,103.857752875203
FAIRPRICE FINEST,shopping,"1.27468281482263,103.843488359469",1.27468281482263,103.843488359469
PRIME SUPERMARKET,shopping,"1.37368393003779,103.871416978631",1.37368393003779,103.871416978631
SHENG SIONG SUPERMARKET,shopping,"1.37789204076074,103.856411982029",1.37789204076074,103.856411982029
HAO MART,shopping,"1.37307949430462,103.829630839555",1.37307949430462,103.829630839555
SuperNature,shopping,"1.30619579912712,103.828509016327",1.30619579912712,103.828509016327
FAIRPRICE FINEST,shopping,"1.32702991607724,103.846490871841",1.32702991607724,103.846490871841
FAIRPRICE,shopping,"1.3921382852483,103.872490556246",1.3921382852483,103.872490556246
LABIBA ENTERPRISE,shopping,"1.39657691054767,103.872860366695",1.39657691054767,103.872860366695
GIANT HYPERFRESH,shopping,"1.29485990186642,103.860333693777",1.29485990186642,103.860333693777
AP,shopping,"1.27822949964567,103.850812513482",1.27822949964567,103.850812513482
FAIRPRICE,shopping,"1.3088060941423,103.861311954595",1.3088060941423,103.861311954595
SONG FISH- SEAFOOD MARKET PLACE,shopping,"1.28499882847401,103.844697081142",1.28499882847401,103.844697081142
COLD STORAGE,shopping,"1.27461794103822,103.844319553688",1.27461794103822,103.844319553688
COLD STORAGE,shopping,"1.3097112065077,103.864326436447",1.3097112065077,103.864326436447
FAIRPRICE FINEST,shopping,"1.39130622992517,103.876085067727",1.39130622992517,103.876085067727
B&S MINIMART,shopping,"1.31245131450842,103.879622127227",1.31245131450842,103.879622127227
GW MINIMART,shopping,"1.41922753105954,103.89655042559",1.41922753105954,103.89655042559
PHAN99 SUPERMART,shopping,"1.41764102542684,103.896348101989",1.41764102542684,103.896348101989
COLD STORAGE,shopping,"1.30766860940267,103.828164396352",1.30766860940267,103.828164396352
FAIRPRICE,shopping,"1.38621835522425,103.89299549602",1.38621835522425,103.89299549602
U Stars Supermarket,shopping,"1.3968497990014,103.889246755784",1.3968497990014,103.889246755784
HUBER'S,shopping,"1.30679240314535,103.810185814417",1.30679240314535,103.810185814417
FAIRPRICE,shopping,"1.28686170538596,103.813904189286",1.28686170538596,103.813904189286
SHENG SIONG SUPERMARKET,shopping,"1.29531966312622,103.809758591447",1.29531966312622,103.809758591447
SHENG SIONG SUPERMARKET,shopping,"1.39779874741053,103.881698806174",1.39779874741053,103.881698806174
HAO MART,shopping,"1.28942607947152,103.822276781927",1.28942607947152,103.822276781927
IROHA MART,shopping,"1.30082071769235,103.845067272666",1.30082071769235,103.845067272666
FAIRPRICE SHOP,shopping,"1.37089456931834,103.856396509138",1.37089456931834,103.856396509138
LITTLE FARMS,shopping,"1.27672492702287,103.845155395387",1.27672492702287,103.845155395387
TASTE SINGAPORE,shopping,"1.31056351530083,103.796107173318",1.31056351530083,103.796107173318
CAVEMEN,shopping,"1.32696539864482,103.84367423097",1.32696539864482,103.84367423097
HAO MART,shopping,"1.36321663626182,103.835456921925",1.36321663626182,103.835456921925
IROHA MART,shopping,"1.28499882847401,103.844697081142",1.28499882847401,103.844697081142
COLD STORAGE,shopping,"1.27737235072298,103.852844801266",1.27737235072298,103.852844801266
FAIRPRICE SHOP,shopping,"1.319303367127,103.86404981515",1.319303367127,103.86404981515
FAIRPRICE SHOP,shopping,"1.33889072150034,103.848993316875",1.33889072150034,103.848993316875
DON DON DONKI,shopping,"1.30083890839245,103.839434733899",1.30083890839245,103.839434733899
HAO MART,shopping,"1.32821169071169,103.859812573047",1.32821169071169,103.859812573047
HAO MART,shopping,"1.27784876576774,103.830811459909",1.27784876576774,103.830811459909
SF FARM MART,shopping,"1.29485990186642,103.860333693777",1.29485990186642,103.860333693777
SHENG SIONG SUPERMARKET,shopping,"1.39158622983505,103.879874611419",1.39158622983505,103.879874611419
SHENG SIONG SUPERMARKET,shopping,"1.39922772538912,103.88965593061",1.39922772538912,103.88965593061
DON DON DONKI,shopping,"1.27468281482263,103.843488359469",1.27468281482263,103.843488359469
HAO MART,shopping,"1.27627970533812,103.806955809842",1.27627970533812,103.806955809842
LITTLE FARMS,shopping,"1.31067976097165,103.795260908624",1.31067976097165,103.795260908624
FAIRPRICE FINEST,shopping,"1.30020625685959,103.837317132796",1.30020625685959,103.837317132796
PRIME SUPERMARKET,shopping,"1.38433426615655,103.881623070164",1.38433426615655,103.881623070164
Your Grocer,shopping,"1.28807687600985,103.82708127923",1.28807687600985,103.82708127923
JO BY COLD STORAGE,shopping,"1.27992126239604,103.854773147641",1.27992126239604,103.854773147641
DON DON DONKI,shopping,"1.31142103107683,103.856624019991",1.31142103107683,103.856624019991
HAO MART,shopping,"1.30811749102335,103.861188606169",1.30811749102335,103.861188606169
Jasons Deli By Cold Storage,shopping,"1.28332249857386,103.857629111139",1.28332249857386,103.857629111139
CULINA,shopping,"1.30518823313112,103.810314282281",1.30518823313112,103.810314282281
