name,amenity_type,LatLng,lat,lon
Woodbridge Museum,recreation,"1.38306844679497,103.884992493203",1.38306844679497,103.884992493203
Army Museum of Singapore,recreation,"1.33190674082204,103.67681459535",1.33190674082204,103.67681459535
ArtScience Museum,recreation,"1.28627800020667,103.859233999576",1.28627800020667,103.859233999576
Asian Civilisations Museum,recreation,"1.28745998094124,103.851370888669",1.28745998094124,103.851370888669
BCA Gallery,recreation,"1.34440911498272,103.858550350197",1.34440911498272,103.858550350197
Chinatown Heritage Centre,recreation,"1.28357830609807,103.844377710425",1.28357830609807,103.844377710425
Chinese Heritage Centre,recreation,"1.34377901329634,103.683998529299",1.34377901329634,103.683998529299
Civil Defence Heritage Gallery,recreation,"1.29205335546359,103.849115130882",1.29205335546359,103.849115130882
Eurasian Heritage Centre,recreation,"1.31009900032616,103.899396999842",1.31009900032616,103.899396999842
Former Ford Factory,recreation,"1.35269172931273,103.768855250504",1.35269172931273,103.768855250504
Fort Siloso,recreation,"1.24834860338947,103.82795023941",1.24834860338947,103.82795023941
Fuk Tak Chi Museum,recreation,"1.28298149258632,103.848808942859",1.28298149258632,103.848808942859
Gan Heritage Centre,recreation,"1.27917700014319,103.84082300006",1.27917700014319,103.84082300006
Gem Museum,recreation,"1.29776577310231,103.849531821151",1.29776577310231,103.849531821151
HDB Gallery,recreation,"1.33226900033843,103.848838000312",1.33226900033843,103.848838000312
Kallang Sports Centre,recreation,"1.30529630300381,103.879604576327",1.30529630300381,103.879604576327
Katong Swimming Complex,recreation,"1.30210564041254,103.886081886713",1.30210564041254,103.886081886713
Pasir Ris Sports Centre,recreation,"1.37444845586245,103.95182250042",1.37444845586245,103.95182250042
Queenstown Sports Centre,recreation,"1.29672720043947,103.802435215916",1.29672720043947,103.802435215916
Sengkang Sports Centre,recreation,"1.39549658393931,103.885789255152",1.39549658393931,103.885789255152
Serangoon Sports Centre,recreation,"1.35594654934782,103.874383973531",1.35594654934782,103.874383973531
St Wilfrid Sports Complex,recreation,"1.32522689348828,103.861719012118",1.32522689348828,103.861719012118
Tampines Swimming Complex,recreation,"1.35429510351818,103.93963580414",1.35429510351818,103.93963580414
Toa Payoh Sports Centre,recreation,"1.33028646889072,103.851566352891",1.33028646889072,103.851566352891
Woodlands Sports Centre,recreation,"1.43489537703518,103.780306573729",1.43489537703518,103.780306573729
Yio Chu Kang Sports Centre,recreation,"1.3834708234938,103.845866608165",1.3834708234938,103.845866608165
Yishun Sports Centre,recreation,"1.41201836574556,103.83117739651",1.41201836574556,103.83117739651
Yishun Swimming Complex,recreation,"1.42406332292719,103.833692367151",1.42406332292719,103.833692367151
Ang Mo Kio Swimming Complex,recreation,"1.36307894845156,103.849851705062",1.36307894845156,103.849851705062
Bedok Sports Centre,recreation,"1.32638079784507,103.936716000861",1.32638079784507,103.936716000861
Bishan Sports Centre,recreation,"1.35528262760188,103.850922071159",1.35528262760188,103.850922071159
Bukit Batok Swimming Complex,recreation,"1.34433159736434,103.747954226702",1.34433159736434,103.747954226702
Bukit Gombak Sports Centre,recreation,"1.35979953687728,103.75217022107",1.35979953687728,103.75217022107
Burghley Squash and Tennis Centre,recreation,"1.35939081783085,103.860486528063",1.35939081783085,103.860486528063
Choa Chu Kang Sports Centre,recreation,"1.39066617204386,103.747920712445",1.39066617204386,103.747920712445
Clementi Sports Centre,recreation,"1.31101498462879,103.764861415667",1.31101498462879,103.764861415667
Clementi Stadium,recreation,"1.30976459874851,103.762488569953",1.30976459874851,103.762488569953
Delta Sports Centre,recreation,"1.2893742892013,103.820016552841",1.2893742892013,103.820016552841
Farrer Park Field,recreation,"1.31171149348533,103.849500514144",1.31171149348533,103.849500514144
Farrer Park Tennis Centre,recreation,"1.31171149348533,103.849500514144",1.31171149348533,103.849500514144
Geylang East Swimming Complex,recreation,"1.32095367310021,103.887659823397",1.32095367310021,103.887659823397
Geylang Field,recreation,"1.30983699500093,103.877503154652",1.30983699500093,103.877503154652
Hougang Sports Centre,recreation,"1.37057348785749,103.88807173322",1.37057348785749,103.88807173322
Jalan Besar Sports Centre,recreation,"1.31085491048578,103.859961717518",1.31085491048578,103.859961717518
Jurong East Sports Centre,recreation,"1.34685582634484,103.729175057307",1.34685582634484,103.729175057307
Jurong West Sports Centre,recreation,"1.33841806492775,103.69376890219",1.33841806492775,103.69376890219
Kallang Basin Swimming Complex,recreation,"1.32255951909401,103.872491018144",1.32255951909401,103.872491018144
ActiveSG Gym@Ang Mo Kio Community Centre,recreation,"1.36683348076669,103.840668130336",1.36683348076669,103.840668130336
ActiveSG Gym@Enabling Village,recreation,"1.28668026511187,103.813766346615",1.28668026511187,103.813766346615
ActiveSG Gym@Fernvale Square,recreation,"1.39142203528113,103.873115604064",1.39142203528113,103.873115604064
